"Espécie" "Domínio" "Mínimo.opt" "Máximo.opt" "Classificação" "Sal.é.NaCl." "Unidade"
"191" "Marinobacterium halophilum" "B" 0.51 2.05 "Moderate" "s" "m"
"192" "Methylohalomonas lacus" "B" 2 2 "Moderate" "s" "m"
"193" "Thiohalomonas denitrificans" "B" 1.5 2 "Moderate" "s" "m"
"194" "Thiohalomonas nitratireducens" "B" 1 1 "Moderate" "s" "m"
"195" "Halomonas caseinilytica" "B" 0.514 0.856 "Moderate" "s" "m"
"196" "Bacillus halochares" "B" 2.5 2.5 "Moderate" "s" "m"
"197" "Thiohalobacter thiocyanaticus" "B" 0.5 0.5 "Moderate" "s" "m"
"201" "Spiribacter roseus" "B" 0.8 1 "Moderate" "s" "m"
"202" "Ruegeria profundi" "B" 1 1.5 "Moderate" "s" "m"
"203" "Ruegeria marisrubri" "B" 1.5 2 "Moderate" "s" "m"
"204" "Methanohalophilus mahii" "B" 2 2 "No Class" "s" "m"
"205" "Halomonas marisflavae" "B" 0.08 2.05 "No Class" "s" "m"
"207" "Vibrio agarivorans" "B" 0.34 0.34 "No Class" "s" "m"
"208" "Psychromonas marina" "B" 0.51 0.86 "No Class" "s" "m"
"209" "Pseudoalteromonas issachenkonii" "B" 0.17 0.51 "No Class" "s" "m"
"210" "Halomonas muralis" "B" 0.43 1.71 "No Class" "s" "m"
"211" "Vibrio calviensis" "B" 0.43 0.6 "No Class" "s" "m"
"212" "Marinilactibacillus psychrotolerans" "B" 0.34 0.64 "No Class" "s" "m"
"213" "Halobacillus salinus" "B" 0.34 1.71 "No Class" "s" "m"
"215" "Nocardiopsis xinjiangensis" "B" 1.71 1.71 "No Class" "s" "m"
"216" "Shewanella marinintestina" "B" 0.34 0.51 "No Class" "s" "m"
"217" "Shewanella sairae" "B" 0.34 0.51 "No Class" "s" "m"
"218" "Shewanella schlegeliana" "B" 0.34 0.51 "No Class" "s" "m"
"219" "Streptomonospora alba" "B" 1.71 2.57 "No Class" "s" "m"
"220" "Idiomarina loihiensis" "B" 1.28 1.71 "No Class" "s" "m"
"224" "Halorubrum xinjiangense" "A" 3.3 3.3 "No Class" "s" "m"
"225" "Marinospirillum insulare" "B" 0.34 0.51 "No Class" "s" "m"
"226" "Paracoccus haeundaensis" "B" 0.17 1.03 "No Class" "s" "m"
"227" "Halomonas neptunia" "B" 0.32 0.48 "No Class" "s" "m"
"228" "Halomonas sulfidaeris" "B" 0.32 0.48 "No Class" "s" "m"
"230" "Arcobacter halophilus" "B" 0.6 0.6 "No Class" "s" "m"
"231" "Alloalcanivorax dieselolei" "B" 0.51 1.28 "No Class" "s" "m"
"232" "Subsaximicrobium wynnwilliamsii" "B" 0.3 0.4 "No Class" "s" "m"
"233" "Subsaximicrobium saxinquilinus" "B" 0.3 0.4 "No Class" "s" "m"
"234" "Subsaxibacter broadyi" "B" 0.3 0.4 "No Class" "s" "m"
"235" "Lacinutrix copepodicola" "B" 0.3 0.4 "No Class" "s" "m"
"236" "Bizionia saleffrena" "B" 1 1 "No Class" "s" "m"
"237" "Bizionia gelidisalsuginis" "B" 1 1 "No Class" "s" "m"
"238" "Bizionia algoritergicola" "B" 0.3 0.4 "No Class" "s" "m"
"239" "Bizionia myxarmorum" "B" 0.3 0.4 "No Class" "s" "m"
"240" "Gelidibacter gilvus" "B" 0.3 0.4 "No Class" "s" "m"
"241" "Gillisia sandarakina" "B" 0.3 0.5 "No Class" "s" "m"
"242" "Gillisia hiemivivida" "B" 0.3 0.5 "No Class" "s" "m"
"243" "Methylothermus thermalis" "B" 0.01 0.17 "No Class" "s" "m"
"244" "Ferrimonas marina" "B" 0.51 0.51 "No Class" "s" "m"
"245" "Halobacillus yeomjeoni" "B" 0.51 0.85 "No Class" "s" "m"
"246" "Halococcus hamelinensis" "A" 2.55 2.55 "No Class" "s" "m"
"247" "Halorubrum orientale" "A" 3.4 3.4 "No Class" "s" "m"
"248" "Marinomonas ostreistagni" "B" 0.51 0.51 "No Class" "s" "m"
"249" "Halobacterium jilantaiense" "A" 3.1 3.5 "No Class" "s" "m"
"250" "Pseudidiomarina homiensis" "B" 0.51 0.85 "No Class" "s" "m"
"251" "Paucisalibacillus globulus" "B" 0.17 0.17 "No Class" "s" "m"
"252" "Stappia marina" "B" 0.51 0.51 "No Class" "s" "m"
"253" "Natronococcus jeotgali" "A" 3.94 4.28 "No Class" "s" "m"
"254" "Halorubrum ejinorense" "A" 3.4 3.4 "No Class" "s" "m"
"255" "Halorubrum luteum" "A" 4.2 4.2 "No Class" "s" "m"
"256" "Natrinema gari " "A" 2.6 3.4 "No Class" "s" "m"
"259" "Salsuginibacillus halophilus" "B" 3.25 3.25 "No Class" "s" "m"
"260" "Halogeometricum rufum" "A" 3.9 3.9 "No Class" "s" "m"
"261" "Halogeometricum limi" "A" 3.9 3.9 "No Class" "s" "m"
"262" "Halorubrum aquaticum" "A" 3.4 3.4 "No Class" "s" "m"
"263" "Halobellus limi" "A" 2.6 3.9 "No Class" "s" "m"
"264" "Halobellus salinus" "A" 3.4 3.4 "No Class" "s" "m"
"265" "Halomicrobium zhouii" "A" 2.6 2.6 "No Class" "s" "m"
"266" "Spirochaeta sphaeroplastigenens" "B" 0.86 1.28 "No Class" "s" "m"
"267" "Halomicroarcula limicola" "A" 2.1 2.1 "No Class" "s" "m"
"269" "Natronoarchaeum rubrum" "A" 2.6 2.6 "No Class" "s" "m"
"271" "Haloarchaeobius salinus" "A" 2 2 "No Class" "s" "m"
"272" "Halomicroarcula salina" "A" 2.1 2.1 "No Class" "s" "m"
"273" "Halorubrum gandharaense" "A" 3.2 3.4 "No Class" "s" "m"
"274" "Halorubrum yunnanense" "A" 3.4 3.4 "No Class" "s" "m"
