"Espécie" "Domínio" "Mínimo.opt" "Máximo.opt" "Classificação" "Sal.é.NaCl." "Unidade"
"1048" "Oricola thermophila" "B" 0.513347022587269 0.513347022587269 "Slight" "s" "p"
"1049" "Paraliobacillus salinarum" "B" 0.855578370978782 0.855578370978782 "Slight" "s" "p"
"1050" "Photobacterium arenosum" "B" 0 0.684462696783025 "No Class" "s" "p"
"1052" "Occultella aeris" "B" 0.0855578370978782 0.342231348391513 "Tolerant" "s" "p"
"1054" "Ruania rhizosphaerae" "B" 0 1.36892539356605 "Moderate" "s" "p"
"1055" "Salinadaptatus halalkaliphilus" "A" 4.4 4.4 "No Class" "s" "m"
"1056" "Aequorivita iocasae" "B" 0.513347022587269 1.02669404517454 "Moderate" "s" "p"
"1057" "Aliidiomarina halalkaliphila" "B" 0.684462696783025 1.02669404517454 "No Class" "s" "p"
"1058" "Alteribacter keqinensis" "B" 0.513347022587269 0.513347022587269 "Moderate" "s" "p"
"1059" "Aquibacillus saliphilus" "B" 1.71115674195756 1.71115674195756 "Moderate" "s" "p"
"1060" "Halosolutus amylolyticus" "A" 3.1 3.1 "Extreme" "s" "m"
"1061" "Halosolutus gelatinilyticus" "A" 3.1 3.1 "Extreme" "s" "m"
"1062" "Halosolutus halophilus" "A" 3.1 3.1 "Extreme" "s" "m"
"1063" "Dethiosulfovibrio faecalis" "B" 0.4 0.4 "Tolerant" "s" "m"
"1064" "Haladaptatus halobius" "A" 3.9 3.9 "Extreme" "s" "m"
"1065" "Haladaptatus salinisoli" "A" 4.3 4.3 "Extreme" "s" "m"
"1066" "Halalkalibacterium roseum" "B" 1.11225188227242 1.71115674195756 "Moderate" "s" "p"
"1067" "Halobaculum rubrum" "A" 2.1 2.1 "Extreme" "s" "m"
"1068" "Halocatena salina" "A" 4.3 4.3 "No Class" "s" "m"
"1069" "Halomonas antri" "B" 0.171115674195756 1.02669404517454 "Moderate" "s" "p"
"1070" "Halomonas getboli" "B" 0.513347022587269 0.513347022587269 "Tolerant" "s" "p"
"1071" "Halorhabdus amylolytica" "A" 3.42231348391513 3.42231348391513 "Extreme" "s" "p"
"1072" "Halorhabdus salina" "A" 3.9356605065024 3.9356605065024 "Extreme" "s" "p"
"1073" "Halorubrum salinarum" "A" 3.42231348391513 4.27789185489391 "Extreme" "s" "p"
"1074" "Halorussus halobius" "A" 4.3 4.3 "No Class" "s" "m"
"1075" "Halorussus marinus" "A" 3.1 3.1 "No Class" "s" "m"
"1076" "Halorussus pelagicus" "A" 2.6 2.6 "No Class" "s" "m"
"1078" "Natrinema halophilum" "A" 2.6 2.6 "Extreme" "s" "m"
"1079" "Natrinema salinisoli" "A" 3.9 3.9 "Extreme" "s" "m"
"1080" "Natrinema amylolyticum" "A" 3.1 3.1 "Extreme" "s" "m"
"1081" "Haloterrigena alkaliphila" "A" 3.9 3.9 "Extreme" "s" "m"
"1082" "Paracoccus salsus" "B" 0.342231348391513 0.342231348391513 "Slight" "s" "p"
"1085" "Pseudalkalibacillus salsuginis" "B" 0.342231348391513 0.342231348391513 "Tolerant" "s" "p"
"1086" "Pseudovibrio flavus" "B" 0.342231348391513 0.342231348391513 "No Class" "s" "p"
"1087" "Psychrobacter halodurans" "B" 0.684462696783025 0.855578370978782 "Slight" "s" "p"
"1088" "Psychrobacter coccoides" "B" 0.513347022587269 0.684462696783025 "Slight" "s" "p"
"1090" "Sediminibacillus dalangtanensis" "B" 1.23203285420945 1.23203285420945 "Moderate" "s" "p"
"1091" "Sinomicrobium weinanense" "B" 0 0.513347022587269 "No Class" "s" "p"
"1092" "Thiomicrorhabdus heinhorstiae" "B" 0.41 0.41 "Moderate" "s" "m"
"1096" "Alcanivorax xiamenensis" "B" 0.513347022587269 0.855578370978782 "No Class" "s" "p"
"1097" "Arcobacter roscoffensis" "B" 0.513347022587269 0.513347022587269 "No Class" "s" "p"
"1098" "Brevibacillus humidisoli" "B" 0 0 "Tolerant" "s" "p"
"1099" "Haloarcula terrestris" "A" 4.27789185489391 4.27789185489391 "Extreme" "s" "p"
"1100" "Salinimicrobium tongyeongense" "B" 0.513347022587269 0.513347022587269 "Moderate" "s" "p"
"1101" "Georgenia halotolerans" "B" 0 0.513347022587269 "Tolerant" "s" "p"
"1102" "Gillisia lutea" "B" 0.342231348391513 1.19780971937029 "No Class" "s" "p"
"1103" "Gracilibacillus salinarum" "B" 0.855578370978782 1.71115674195756 "Tolerant" "s" "p"
"1104" "Gracilibacillus caseinilyticus" "B" 0.855578370978782 1.71115674195756 "Tolerant" "s" "p"
"1105" "Gracilimonas sediminicola" "B" 0.342231348391513 0.342231348391513 "Tolerant" "s" "p"
"1106" "Gramella oceanisediminis" "B" 0 0.342231348391513 "Moderate" "s" "p"
"1107" "Halobacterium wangiae" "A" 3.1 3.1 "Extreme" "s" "m"
"1108" "Halobacterium zhouii" "A" 3.4 3.4 "Extreme" "s" "m"
"1109" "Halomicroarcula laminariae" "A" 2.6 2.6 "Extreme" "s" "m"
"1110" "Halomicroarcula marina" "A" 3.4 3.4 "Extreme" "s" "m"
"1111" "Halomonas dongshanensis" "B" 0.171115674195756 0.855578370978782 "Moderate" "s" "p"
"1112" "Lactiplantibacillus brownii" "B" 0 0.171115674195756 "Slight" "s" "p"
"1113" "Lentibacillus daqui" "B" 1.36892539356605 1.71115674195756 "Moderate" "s" "p"
"1114" "Marinitoga aeolica" "B" 0.427789185489391 0.427789185489391 "Slight" "s" "g"
"1115" "Marinobacter iranensis" "B" 0.513347022587269 0.513347022587269 "Slight" "s" "p"
"1116" "Marinobacter panjinensis" "B" 0.0342231348391513 1.36892539356605 "Moderate" "s" "p"
"1117" "Maritalea mediterranea" "B" 0.0855578370978782 1.54004106776181 "No Class" "s" "p"
"1118" "Marivirga aurantiaca" "B" 1.28336755646817 1.54004106776181 "No Class" "s" "p"
"1119" "Microbulbifer zhoushanensis" "B" 0.513347022587269 0.513347022587269 "Tolerant" "s" "p"
"1120" "Microbulbifer sediminum" "B" 0.684462696783025 0.684462696783025 "Tolerant" "s" "p"
"1121" "Microbulbifer guangxiensis" "B" 0.171115674195756 0.171115674195756 "Tolerant" "s" "p"
"1123" "Natronosalvus halobius" "A" 3.9 3.9 "No Class" "s" "m"
"1124" "Natronosalvus caseinilyticus" "A" 3.9 3.9 "No Class" "s" "m"
"1125" "Natronosalvus vescus" "A" 4.3 4.3 "No Class" "s" "m"
"1126" "Natronosalvus rutilus" "A" 3.1 3.1 "No Class" "s" "m"
"1127" "Natronosalvus amylolyticus" "A" 3.4 3.4 "No Class" "s" "m"
"1128" "Nocardiopsis suaedae" "B" 0.855578370978782 2.05338809034908 "No Class" "s" "p"
"1129" "Nocardiopsis endophytica" "B" 0.855578370978782 1.71115674195756 "No Class" "s" "p"
"1130" "Pacificoceanicola onchidii" "B" 0.427789185489391 0.598904859685147 "Slight" "s" "p"
"1131" "Parathalassolituus penaei" "B" 0.342231348391513 0.342231348391513 "No Class" "s" "p"
"1132" "Profundirhabdus halotolerans" "B" 0.684462696783025 0.684462696783025 "No Class" "s" "p"
"1133" "Radiobacillus kanasensis" "B" 0 2.05338809034908 "Tolerant" "s" "p"
"1134" "Salinigranum marinum" "A" 3.4 3.4 "No Class" "s" "m"
"1135" "Halohasta salina" "A" 3.1 3.1 "No Class" "s" "m"
"1136" "Salinimicrobium profundisediminis" "B" 0.342231348391513 0.513347022587269 "No Class" "s" "p"
"1137" "Salipaludibacillus daqingensis" "B" 1.36892539356605 1.36892539356605 "Moderate" "s" "p"
