"Espécie" "Domínio" "Mínimo.sup" "Máximo.sup" "Classificação" "Sal.é.NaCl." "Unidade"
"212" "Marinilactibacillus psychrotolerans" "B" 0 3.51 "No Class" "s" "m"
"213" "Halobacillus salinus" "B" 0 3.94 "No Class" "s" "m"
"214" "Marinomonas primoryensis" "B" 0.17 1.03 "No Class" "s" "m"
"216" "Shewanella marinintestina" "B" 0.17 0.86 "No Class" "s" "m"
"217" "Shewanella sairae" "B" 0.17 0.86 "No Class" "s" "m"
"218" "Shewanella schlegeliana" "B" 0.17 0.86 "No Class" "s" "m"
"219" "Streptomonospora alba" "B" 0.86 4.28 "No Class" "s" "m"
"220" "Idiomarina loihiensis" "B" 0.08 3.42 "No Class" "s" "m"
"221" "Psychrobacter submarinus" "B" 0.08 2.65 "No Class" "s" "m"
"223" "Marinobacter sediminum" "B" 0.17 3.08 "No Class" "s" "m"
"224" "Halorubrum xinjiangense" "A" 2 5.2 "No Class" "s" "m"
"225" "Marinospirillum insulare" "B" 0.08 1.71 "No Class" "s" "m"
"226" "Paracoccus haeundaensis" "B" 0 1.37 "No Class" "s" "m"
"227" "Halomonas neptunia" "B" 0.08 0.35 "No Class" "s" "m"
"228" "Halomonas sulfidaeris" "B" 0.08 3.86 "No Class" "s" "m"
"229" "Gramella echinicola" "B" 0.17 2.57 "No Class" "s" "m"
"231" "Alloalcanivorax dieselolei" "B" 0.17 2.57 "No Class" "s" "m"
"232" "Subsaximicrobium wynnwilliamsii" "B" 0.25 2 "No Class" "s" "m"
"233" "Subsaximicrobium saxinquilinus" "B" 0.1 2 "No Class" "s" "m"
"234" "Subsaxibacter broadyi" "B" 0.1 1.25 "No Class" "s" "m"
"235" "Lacinutrix copepodicola" "B" 0.1 2 "No Class" "s" "m"
"236" "Bizionia saleffrena" "B" 0.2 3 "No Class" "s" "m"
"237" "Bizionia gelidisalsuginis" "B" 0.2 3 "No Class" "s" "m"
"238" "Bizionia algoritergicola" "B" 0.2 2 "No Class" "s" "m"
"239" "Bizionia myxarmorum" "B" 0.2 2 "No Class" "s" "m"
"240" "Gelidibacter gilvus" "B" 0.1 1.5 "No Class" "s" "m"
"241" "Gillisia sandarakina" "B" 0.2 1.5 "No Class" "s" "m"
"242" "Gillisia hiemivivida" "B" 0.2 1.5 "No Class" "s" "m"
"243" "Methylothermus thermalis" "B" 0 0.34 "No Class" "s" "m"
"244" "Ferrimonas marina" "B" 0.26 0.6 "No Class" "s" "m"
"245" "Halobacillus yeomjeoni" "B" 0.08 3.59 "No Class" "s" "m"
"246" "Halococcus hamelinensis" "A" 2.13 5.1 "No Class" "s" "m"
"247" "Halorubrum orientale" "A" 2.5 5 "No Class" "s" "m"
"248" "Marinomonas ostreistagni" "B" 0.17 1.71 "No Class" "s" "m"
"249" "Halobacterium jilantaiense" "A" 2.7 5.2 "No Class" "s" "m"
"250" "Pseudidiomarina homiensis" "B" 0.17 2.56 "No Class" "s" "m"
"251" "Paucisalibacillus globulus" "B" 0 1.37 "No Class" "s" "m"
"252" "Stappia marina" "B" 0.51 1.03 "No Class" "s" "m"
"253" "Natronococcus jeotgali" "A" 1.28 5.13 "No Class" "s" "m"
"254" "Halorubrum ejinorense" "A" 2.5 5 "No Class" "s" "m"
"255" "Halorubrum luteum" "A" 2.5 5.2 "No Class" "s" "m"
"256" "Natrinema gari " "A" 1.7 5.1 "No Class" "s" "m"
"259" "Salsuginibacillus halophilus" "B" 1.54 5.133 "No Class" "s" "m"
"260" "Halogeometricum rufum" "A" 2.1 5.1 "No Class" "s" "m"
"261" "Halogeometricum limi" "A" 2.1 5.1 "No Class" "s" "m"
"262" "Halorubrum aquaticum" "A" 2.5 5 "No Class" "s" "m"
"263" "Halobellus limi" "A" 1.4 5.1 "No Class" "s" "m"
"264" "Halobellus salinus" "A" 2.6 5.1 "No Class" "s" "m"
"265" "Halomicrobium zhouii" "A" 1.4 5.1 "No Class" "s" "m"
"266" "Spirochaeta sphaeroplastigenens" "B" 0.34 2.05 "No Class" "s" "m"
"267" "Halomicroarcula limicola" "A" 0.9 4.8 "No Class" "s" "m"
"269" "Natronoarchaeum rubrum" "A" 1.4 4.8 "No Class" "s" "m"
"271" "Haloarchaeobius salinus" "A" 1.4 4.8 "No Class" "s" "m"
"272" "Halomicroarcula salina" "A" 1.9 4.8 "No Class" "s" "m"
"273" "Halorubrum gandharaense" "A" 3 5.2 "No Class" "s" "m"
"274" "Halorubrum yunnanense" "A" 1.7 5.1 "No Class" "s" "m"
"275" "Halorussus amylolyticus" "A" 1.4 4.8 "No Class" "s" "m"
"276" "Haloparvum alkalitolerans" "A" 2.1 4.7 "No Class" "s" "m"
"277" "Halopiger thermotolerans" "A" 1.7 4.6 "No Class" "s" "m"
"278" "Halobacterium litoreum" "A" 1.7 4.8 "No Class" "s" "m"
"279" "Natronoarchaeum persicum" "A" 2.5 4.5 "No Class" "s" "m"
"280" "Salinarchaeum chitinilyticum" "A" 1.5 5.1 "No Class" "s" "m"
"281" "Salinirussus salinus" "A" 2.6 4.8 "No Class" "s" "m"
"282" "Salinirubellus salinus" "A" 1.4 4.8 "No Class" "s" "m"
"283" "Halorussus litoreus" "A" 0.9 4.8 "No Class" "s" "m"
"284" "Halostella limicola" "A" 1.7 4.8 "No Class" "s" "m"
"285" "Methanogenium frigidum" "A" 0.1 0.85 "Slight" "s" "m"
"286" "Alcanivorax jadensis" "B" 0.08 2.57 "Slight" "s" "m"
"287" "Dethiosulfovibrio russensis" "B" 0.08 1.2 "Slight" "s" "m"
"288" "Halomonas halocynthiae" "B" 0.08 2.57 "Slight" "s" "m"
"289" "Alteromonas addita" "B" 0.17 1.71 "Slight" "s" "m"
"290" "Paraglaciecola mesophila" "B" 0.17 1.37 "Slight" "s" "m"
"291" "Erythrobacter flavus" "B" 0.17 2.39 "Slight" "s" "m"
"292" "Shewanella gaetbuli" "B" 0 1.37 "Slight" "s" "m"
"293" "Bacillus hwajinpoensis" "B" 0.08 3.25 "Slight" "s" "m"
"294" "Alteromonas litorea" "B" 0.08 2.39 "Slight" "s" "m"
"295" "Microbulbifer maritimus" "B" 0.08 1.71 "Slight" "s" "m"
"296" "Marinobacter flavimaris" "B" 0.08 3.42 "Slight" "s" "m"
"297" "Marinobacter daepoensis" "B" 0.08 3.08 "Slight" "s" "m"
"298" "Pseudoalteromonas aliena" "B" 0.08 1.71 "Slight" "s" "m"
"299" "Shewanella marisflavi" "B" 0.08 1.54 "Slight" "s" "m"
"300" "Shewanella aquimarina" "B" 0.08 1.54 "Slight" "s" "m"
"301" "Porphyrobacter donghaensis" "B" 0.08 1.2 "Slight" "s" "m"
"302" "Erythrobacter aquimaris" "B" 0.08 1.71 "Slight" "s" "m"
"303" "Halolactibacillus halophilus" "B" 0 4.37 "Slight" "s" "m"
"304" "Erythrobacter seohaensis" "B" 0.08 1.54 "Slight" "s" "m"
"305" " Erythrobacter gaetbuli" "B" 0.08 1.54 "Slight" "s" "m"
"306" "Sphingopyxis flavimaris" "B" 0.08 1.37 "Slight" "s" "m"
"307" "Erythrobacter luteolus" "B" 0.08 1.54 "Slight" "s" "m"
"308" "Sphingopyxis baekryungensis" "B" 0.08 1.71 "Slight" "s" "m"
"309" "Photobacterium aplysiae" "B" 0.17 0.86 "Slight" "s" "m"
"310" "Methanococcoides alaskense" "A" 0.1 0.8 "Slight" "s" "m"
"311" "Psychrobacter aquimaris " "B" 0 2.05 "Slight" "s" "m"
"312" "Psychrobacter namhaensis" "B" 0 2.22 "Slight" "s" "m"
"313" "Photobacterium frigidiphilum" "B" 0.17 0.6 "Slight" "s" "m"
"314" "Virgibacillus dokdonensis" "B" 0 3.94 "Slight" "s" "m"
"315" "Maribacter dokdonensis" "B" 0.08 1.71 "Slight" "s" "m"
"316" "Psychrobacter celer" "B" 0 2.74 "Slight" "s" "m"
"317" "Bacillus litoralis" "B" 0.08 1.88 "Slight" "s" "m"
"318" "Jannaschia seosinensis" "B" 0.17 3.42 "Slight" "s" "m"
"319" "Methanosarcina baltica" "A" 0.1 0.7 "Slight" "s" "m"
"320" "Muricauda flavescens" "B" 0.01 1.54 "Slight" "s" "m"
"321" "Dokdonia donghensis " "B" 0.08 1.2 "Slight" "s" "m"
"322" "Nesterenkonia jeotgaki" "B" 0 2.74 "Slight" "s" "m"
"323" "Rhodovulum marinum" "B" 0.01 1.37 "Slight" "s" "m"
"324" "Polaribacter dokdonensis" "B" 0.08 1.03 "Slight" "s" "m"
"325" "Porphyrobacter dokdonensis" "B" 0 1.37 "Slight" "s" "m"
"326" "Pelagibaca bermudensis" "B" 0.04 2.57 "Slight" "s" "m"
"328" "Muricauda aquimarina" "B" 0.01 1.54 "Slight" "s" "m"
"329" "Donghicola eburneus" "B" 0.08 2.05 "Slight" "s" "m"
"330" "Methylomicrobium japanense" "B" 0.03 1.5 "Slight" "s" "m"
"331" "Methanohalophilus levihalophilus" "A" 0.2 1.3 "Slight" "s" "m"
"332" "Methanocalculus halotolerans" "A" 0 2.14 "Tolerant" "s" "m"
"333" "Bacillus alkalidiazotrophicus" "B" 0.1 1.2 "Tolerant" "s" "m"
"334" "Methylomicrobium alcaliphilum" "B" 0 1.5 "Tolerant" "s" "m"
"335" "Natranaerobaculum magadiense" "B" 0 1.55 "Tolerant" "s" "m"
"336" "Methylobrevis pamukkalensis" "B" 0 1 "Tolerant" "s" "m"
"338" "Acidihalobacter aeolianus" "B" 0.06 1.283 "Tolerant" "s" "m"
"339" "Acidihalobacter ferrooxydans" "B" 0.06 0.856 "Tolerant" "s" "m"
"340" "Micrococcus halodurans" "B" 0 3.42 "No Class" "s" "m"
"341" "Halobacterium volcanii" "A" 1 5 "No Class" "s" "m"
"342" "Bacillus globisporus marinus" "B" 0 1.19780971937029 "No Class" "s" "p"
"344" "Vibrio alginolyticus" "B" 0 2.57 "No Class" "s" "m"
"346" "Methanohalophilus zhilinae" "B" 0.2 2.1 "No Class" "s" "m"
"349" "Salimicrobium halophilum" "B" 0.514 5.137 "No Class" "s" "m"
"351" "Marinococcus hispanicus" "B" 0.08 4.23 "No Class" "s" "m"
"353" "Volcaniella eurihalina" "B" 0.43 4.28 "No Class" "s" "m"
"354" "Methanohalophilus halophilus" "B" 0.3 2.6 "No Class" "s" "m"
"355" "Deleya salina" "B" 0.43 3.42 "No Class" "s" "m"
"356" "Desulfohalobium retbaense" "B" 0 4.11 "No Class" "s" "m"
"357" "Methanohalophilus portucalensis" "B" 0.5 2.5 "No Class" "s" "m"
"358" "Methanolobus taylorii" "B" 0.2 1.2 "No Class" "s" "m"
"359" "Saccharomonospora halophila" "B" 0.86 3.42 "No Class" "s" "m"
"362" "Haloincola saccharolytica" "B" 0.51 5.13 "No Class" "s" "m"
"363" "Rhodovulum strictum" "B" 0.09 0.51 "No Class" "s" "m"
"364" "Haloanaerobium alcaliphilum" "B" 0.43 2.57 "No Class" "s" "m"
"365" "Desulfovibrio gabonensis" "B" 0.17 2.91 "No Class" "s" "m"
"366" "Thermonema rossianum" "B" 0 1.03 "No Class" "s" "m"
"367" "Dethiosulfovibrio peptidovorans" "B" 0 1.88 "No Class" "s" "m"
"368" "Desulfovibrio profundus " "B" 0.03 1.71 "No Class" "s" "m"
