Espécie	Domínio	Mínimo opt	Máximo opt	Mínimo sup	Máximo sup	Classificação	Sal é NaCl?	Unidade	Checado?	Referência	journal	Ano
Salinicoccus qingdaonensis	B	3	3	0	25	Moderate	s	p		Qu et al 2012	Micro Society	2012
Salinisphaera halophila	B	14	19	6	29	Moderate	s	p		Zhang et al 2012	Micro Society	2012
Salinisphaera orenii	B	15	17	3	25	Moderate	s	p		Park et al 2012	Micro Society	2012
Saliterribacillus persicus	B	7,5	7,5	0,5	22,5	Moderate	s	p		Amoozegar et al 2013	Micro Society	2013
Aliifodinibius roseus	B	6	10	4	20	Moderate	s	p		Wang et al 2013	Micro Society	2013
Aliifodinibius sediminis	B	6	10	4	16	Moderate	s	p		Wang et al 2013	Micro Society	2013
Bacillus halosaccharovorans	B	5	15	105	25	Moderate	s	p		Mehrshad et al 2013	Micro Society	2013
Celerinatantimonas yamalensis 	B	6	8	2	12	Moderate	s	p	Cold	Shcherbakova et al 2013	Micro Society	2013
Defluviimonas aestuarii	B	1	1,5	0	10	Moderate	s	p		Math et al 2013	Micro Society	2013
Fabibacter pacificus	B	2	2	0,5	10	Moderate	s	p		Huo et al 2013	Micro Society	2013
Galbibacter marinus	B	1	3	0	9	Moderate	s	p		Li et al 2013	Micro Society	2013
Gracilimonas mengyeensis	B	5	9	2	15	Moderate	s	p		Wang et al 2013	Micro Society	2013
Halarchaeum nitratireducens	A	21	21	9	30	Moderate	s	p	Acido	Minegishi et al 2013	Micro Society	2013
Halarchaeum rubridurum	A	18	18	9	30	Moderate	s	p	Acido	Yamauchi et al 2013	Micro Society	2013
Halarchaeum salinum	A	18	18	12	30	Moderate	s	p	Acido	Yamauchi et al 2013	Micro Society	2013
Halomonas smyrnensis	B	10	10	3	25	Moderate	s	p		Poli et al 2013	Micro Society	2013
Halomonas zincidurans	B	5	5	0,5	15	Moderate	s	p	Heavy metal	Xu et al 2013	Micro Society	2013
Marinococcus tarijensis	B	5	5	3	20	Moderate	s	p		Balderrama-Subieta et al 2013	Micro Society	2013
Melghirimyces thermohalophilus	B			5	20	Moderate	s	p		Addou et al 2013	Micro Society	2013
Muricauda taeanensis	B	2	4	1	8	Moderate	s	p		Kim et al 2013	Micro Society	2013
Nesterenkonia suensis	B	2,5	2,5	0	18	Moderate	s	p	Alkali	Govender et al 2013	Micro Society	2013
Ornithinibacillus halophilus	B	5	7,5	0,5	12,5	Moderate	s	p		Bagheri et al 2013	Micro Society	2013
Phaeocystidibacter luteus	B	2	5	0,25	7,5	Moderate	s	p		Zhou et al 2013	Micro Society	2013
Roseovarius lutimaris	B	2	4	1	6	Moderate	s	p		Choi et al 2013	Micro Society	2013
Salinisphaera japonica	B	7,5	10	1	30	Moderate	s	p	Acido	Shimane et al 2013	Micro Society	2013
Sinobacterium caligoides	B	2	4,5	1,5	4,5	Moderate	s	p		Su et al 2013	Micro Society	2013
Aquibacillus halophilus	B	10	10	0,5	20	Moderate	s	p		Amoozegar et al. 2014	Micro Society	2014
Aliicoccus persicus	B	7,5	7,5	0,5	12,5	Moderate	s	p		Amoozegar et al 2014	Micro Society	2014
Alkalibacillus almallahensis	B	15	15	7,5	30	Moderate	Sais totais	p		Pérez-Davó et al 2014	Micro Society	2014
Aquisalimonas halophila	B	10	11	3	23	Moderate	s	p		Zhang et al 2014	Micro Society	2014
Bacillus oryzaecorticis	B			0	9	Moderate	s	p		Hong et al 2014	Micro Society	2014
Mariniphaga anaerophila	B	1	2			Moderate	s	p		Iino et al 2014	Micro Society	2014
Glycocaulis albus	B	1	3	1	5	Moderate	s	p		Lv et al 2014	Micro Society	2014
Halomonas huangheensis	B	7	10	1	20	Moderate	s	p	Alkali	Miao et al 2014	Micro Society	2014
Halomonas olivaria	B	7	7	0	25	Moderate	s	p		Amouric et al 2014	Micro Society	2014
Halomonas songnenensis	B	4	4	0,2	15	Moderate	s	p		Jiang et al 2014	Micro Society	2014
Oceanicola antarcticus	B	0,5	3	0,5	10	Moderate	s	p		Huo et al 2014	Micro Society	2014
Oceanicola flagellatus	B	2	2	0,5	7,5	Moderate	s	p		Huo et al 2014	Micro Society	2014
Oceanobacillus limi	B	7,5	7,5	2,5	10	Moderate	s	p		Amoozegar et al 2014	Micro Society	2014
Oceanobacillus pacificus	B	4	4	0	14	Moderate	s	p		Yu et al 2014	Micro Society	2014
Psychroflexus salarius	B			1	10	Moderate	s	p		Chun et al 2014	Micro Society	2014
Actinoalloteichus hoggarensis	B	5	5	3	7	Moderate	s	p		Boudjelal et al 2015	Micro Society	2015
Aquisalimonas lutea	B	7,5	7,5	5	20	Moderate	Sais	p		Infante-Domínguez et al 2015	Micro Society	2015
Bacillus rigiliprofundi	B	5	6	0	12	Moderate	s	p		Sylvan et al 2015	Micro Society	2015
Bacillus wuyishanensis	B	2	2	0	6	Moderate	s	p		Liu et al 2015	Micro Society	2015
Celeribacter naphthalenivorans	B	2	3	1	7	Moderate	s	p		Oh et al 2015	Micro Society	2015
Confluentimicrobium naphthalenivorans	B	2	2	1	5	Moderate	s	p		Jeong et al 2015	Micro Society	2015
Fodinicurvata halophila	B	10	10	5	20	Moderate	Sais	p		Infante-Domínguez et al 2015	Micro Society	2015
Garicola koreensis	B	6	6	1	17	Moderate	s	p		Lo et al 2015	Micro Society	2015
Gynuella sunshinyii	B	1	4	1	7	Moderate	s	p		Chung et al 2015	Micro Society	2015
Halobacillus andaensis	B	8	8	3	15	Moderate	s	p	Alkali	Wang et al 2015	Micro Society	2015
Halobacillus sediminis	B	10	10	1	20	Moderate	s	p		Kim et al 2015	Micro Society	2015
Idiomarina aquatica	B	7,5	7,5	3	15	Moderate	s	p		León et al 2015	Micro Society	2015
Limibacillus halophilus	B	2	2	0	5	Moderate	s	p		Kim et al 2015	Micro Society	2015
Melghiribacillus thermohalophilus	B	7	10	0,5	17	Moderate	s	p	Thermo	Addou et al 2015	Micro Society	2015
Nesterenkonia populi	B	5	10	3	15	Moderate	s	p	Alkali	Liu et al 2015	Micro Society	2015
Nocardiopsis oceani	B	0	3	0	8	Moderate	s	p		Pan et al 2015	Micro Society	2015
Nocardiopsis nanhaiensis	B	1	4	0	7	Moderate	s	p		Pan et al 2015	Micro Society	2015
Oceanobacillus arenosus	B	2	2	0	8	Moderate	s	p		Kim et al 2015	Micro Society	2015
Palleronia soli	B	3	3	1	11	Moderate	s	p		Kim et al 2015	Micro Society	2015
Pontibacillus salicampi	B	7	7	1	20	Moderate	s	p		Lee et al 2015	Micro Society	2015
Prolixibacter denitrificans	B	2	2	1	13	Moderate	s	p		Iino et al 2015	Micro Society	2015
Salipiger nanhaiensis	B	6	6	0	19	Moderate	s	p		Dai et al 2015	Micro Society	2015
Spiribacter curvatus	B	10	10	5	20	Moderate	s	p		León et al 2015	Micro Society	2015
Thiorhodococcus fuscus	B	2	4	0,5	7	Moderate	s	p		Lakshmi et al 2015	Micro Society	2015
Virgibacillus oceani	B	3,5	3,5	0,5	18	Moderate	s	p		Yin et al 2015	Micro Society	2015
Winogradskyella litoriviva	B	4	5	0,5	7	Moderate	s	p		Nedashkovskaya et al 2015	Micro Society	2015
Aliifodinibius halophilus	B	6	10	2	18	Moderate	s	p		Xia et al 2016	Micro Society	2016
Bacillus urumqiensis	B	6,3	6,3	1,3	25,3	Moderate	s	p	Alkali	Zhang et al 2016	Micro Society	2016
Alteribacillus alkaliphilus	B	3	5	0,5	24	Moderate	s	p	Alkali	Begum et al 2016	Micro Society	2016
Egicoccus halophilus	B	3	5	0	9	Moderate	s	p	Alkali	Zhang et al 2016	Micro Society	2016
Fictibacillus halophilus	B	5	5	0	12	Moderate	s	p	Thermo	Sharma et al 2016	Micro Society	2016
Halomonas garicola	B	10	10	3	22,5	Moderate	Sais marinhos	p		Jung et al 2016	Micro Society	2016
Halomonas lutescens	B	7,5	7,5	0	20	Moderate	s	p		Wang et al 2016	Micro Society	2016
Halomonas sediminicola	B	10	10	1	20	Moderate	s	p		Lee et al 2016	Micro Society	2016
Halomonas urumqiensis	B	8,3	8,3	1,3	25,3	Moderate	s	p	Alkali	Zhang et  al 2016	Micro Society	2016
Larsenimonas suaedae	B	5	6	0,6	20	Moderate	s	p		Xia et al 2016	Micro Society	2016
Lentibacillus populi	B	7	8	0	15	Moderate	s	p		Sun et al 2016	Micro Society	2016
Maribacter lutimaris	B	2	5	1	7	Moderate	s	p		Kim et al 2016	Micro Society	2016
Marimicrobium arenosum	B	2	2	0	3	Moderate	s	p		Konkit et al 2016	Micro Society	2016
Marinomonas blandensis	B			2,5	7	Moderate	Sais marinhos	p		Arahal et al 2016	Micro Society	2016
Oceanobacillus halophilus	B	7,5	7,5	3	15	Moderate	s	p		Amoozegar et al 2016	Micro Society	2016
Oceanobacillus longus	B	5	5	1	20	Moderate	s	p		Amoozegar et al 2016	Micro Society	2016
Psychroflexus salis	B	3	3	0,5	14	Moderate	s	p		Zhong et al 2016	Micro Society	2016
Rhodovulum aestuarii	B	2	4	0	8	Moderate	s	p		Divyasree et al 2016	Micro Society	2016
Salinicoccus amylolyticus	B	8	8	0	25	Moderate	s	p		Srinivas et al 2016	Micro Society	2016
Streptomyces daqingensis	B	2	2	0	11	Moderate	s	p		Pan et al 2016	Micro Society	2016
Bacillus kiskunsagensis	B	5	7	5	10	Moderate	s	p	Alkali	Borsodi et al. 2017	Micro Society	2017
Marinobacter salinus	B	3	6	0,5	15	Moderate	s	p		Rani et al. 2017	Micro Society	2017
Psychroflexus planctonicus	B	3	3	0,5	14	Moderate	s	p		Zhong et al 2017	Micro Society	2017
Aliidiomarina sedimenti	B	5	5	1	15	Moderate	s	p	Alkali	Shahinpei et al 2017	Micro Society	2017
Aliifodinibius salicampi	B	10	10	3	25	Moderate	s	p		Cho et al 2017	Micro Society	2017
Marinomonas algicida	B	1	1	1	12	Moderate	s	p	Acido	Kristyanto et al 2017	Micro Society	2017
Oceanispirochaeta sediminicola	B	2	3	1	7	Moderate	s	p		Subhash and Lee 2017	Micro Society	2017
Gracilimonas halophila	B	6	8	2	16	Moderate	s	p		Lu et al 2017	Micro Society	2017
Halomonas aestuarii	B	3	10	1	20	Moderate	s	p		Koh et al 2017	Micro Society	2017
Halomonas alkalicola	B	0	2	0	8	Moderate	s	p		Tang et al 2017	Micro Society	2017
Lentibacillus sediminis	B	6	6	1	20	Moderate	s	p		Guo et al 2017	Micro Society	2017
Marinobacter aquaticus	B	10	10	5	25	Moderate	s	p		León et al 2017	Micro Society	2017
Marinobacter halotolerans	B	3	3	0,5	20	Moderate	s	p		Kim et al 2017	Micro Society	2017
Marinobacter salexigens	B	3	3	0,5	15	Moderate	s	p		Han et al 2017	Micro Society	2017
Nesterenkonia pannonica	B	5	7	0	15	Moderate	s	p	Alkali	Borsodi et al 2017	Micro Society	2017
Pontibacterium granulatum	B	2	2	1	6	Moderate	s	p		Hyeon et al 2017	Micro Society	2017
Ponticoccus marisrubri	B	9	12	3	18	Moderate	s	p		Zhang et al 2017	Micro Society	2017
Alkalicoccus halolimnae	B	8,3	12,3	4,3	24,3	Moderate	s	p		Zhao et al 2017	Micro Society	2017
Rhodohalobacter halophilus	B	8	10	2	16	Moderate	s	p		Xia et al 2017	Micro Society	2017
Rhodosalinus sediminis	B	7	7	3	20	Moderate	s	p		Guo et al 2017	Micro Society	2017
Salinicola tamaricis	B	5	5	0	25	Moderate	s	p	Heavy metal	Zhao et al 2017	Micro Society	2017
Planococcus salinus	B	3	5	3	15	Moderate	s	p	Alkali	Gan et al. jan 2018	Micro Society	2018
Halomonas saliphila	B	10	15	0	17	Moderate	s	p		Gan et al. abr 2018	Micro Society	2018
Albirhodobacter confluentis	B	2	2	0	6	Moderate	s	p		Jung et al 2018	Micro Society	2018
Halomonas litopenaei	B	3	6	0,5	22	Moderate	s	p		Xue et al 2018	Micro Society	2018
Kushneria phyllosphaerae	B			0,5	25	Moderate	s	p		Navarro-Torre et al 2018	Micro Society	2018
Maribacter litoralis	B	0	3	0	9	Moderate	s	p		Lee et al 2018	Micro Society	2018
Marinobacter bohaiensis	B	6	10	1	15	Moderate	s	p		Xu et al 2018	Micro Society	2018
Ornithinibacillus salinisoli	B	10	15	3	17	Moderate	s	p	Alkali	Gan et al 2018	Micro Society	2018
Pseudogracilibacillus endophyticus	B	4	4	0	8	Moderate	s	p	Thermo	Park et al 2018	Micro Society	2018
Roseovarius ramblicola	B	3	3	0,5	10	Moderate	s	p		Castro et al 2018	Micro Society	2018
Salegentibacter sediminis	B	5	5	1	10	Moderate	s	p		Liang et al 2018	Micro Society	2018
Salinisphaera aquimarina	B	4	4	1	18	Moderate	s	p		Tang et al 2018	Micro Society	2018
Salipaludibacillus halalkaliphilus	B	5	5	0	15	Moderate	s	p	Alkali	Amoozegar et al 2018	Micro Society	2018
Streptomyces durbertensis	B	2	2	0	10	Moderate	s	p	Alkali	Yu et al 2018	Micro Society	2018
Virgibacillus indicus	B			0	15	Moderate	s	p		Xu et al 2018	Micro Society	2018
Virgibacillus profundi	B			0,5	15	Moderate	s	p		Xu et al 2018	Micro Society	2018
Kushneria endophytica	B			0,5	25	Moderate	s	p		Navarro-Torre et al 2019	Micro Society	2019
Hwanghaeella grinnelliae	B	2	3	0	12	Moderate	s	p		Kim et al 2019	Micro Society	2019
Anaerobacillus alkaliphilus	B	5	5	0	7	Moderate	s	p	Alkali	Borsodi et al 2019	Micro Society	2019
Aquibacillus sediminis	B	7	10	0,5	20	Moderate	s	p		Lee and Whang 2019	Micro Society	2019
Lentibacillus lipolyticus	B	8	16	4	35	Moderate	s	p		Booncharoen et al 2019	Micro Society	2019
Marinobacter maroccanus	B	5	7	2	15	Moderate	s	p		Boujida et al2019	Micro Society	2019
Nesterenkonia natronophila	B	5	5	1	12	Moderate	s	p	Alkali	Machin et al 2019	Micro Society	2019
Pararhodobacter oceanensis	B	2	4	0,5	9	Moderate	s	p		Wang et al 2019	Micro Society	2019
Phytoactinopolyspora halophila	B	5	8	2	24	Moderate	s	p		Ding et al 2019	Micro Society	2019
Rhodophyticola porphyridii	B	2	2	0	5	Moderate	s	p		Jung et al 2019	Micro Society	2019
Salinicola halimionae	B	5	10	0,5	25	Moderate	s	p		Fidalgo et al 2019	Micro Society	2019
Salinicola aestuarinus	B	10	12,5	2,5	30	Moderate	s	p		Fidalgo et al 2019	Micro Society	2019
Salinicola endophyticus	B	7,5	7,5	0	25	Moderate	s	p		Fidalgo et al 2019	Micro Society	2019
Salinicola halophyticus	B	7,5	10	2,5	20	Moderate	s	p		Fidalgo et al 2019	Micro Society	2019
Salinicola lusitanus	B	5	7,5	0	30	Moderate	s	p		Fidalgo et al 2019	Micro Society	2019
Vibrio zhugei	B	4	9	1	17	Moderate	s	p		Guo et al 2019	Micro Society	2019
Halomonas maura	B	7,5	10	1	15	Moderate	Sais totais	p		Bouchotroch et al. 2001		
Virgibacillus sediminis	B	5	10	1	20	Moderate	Sais totais	p	Alkali	Chen et al. 2009		
Halomonas nitroreducens	B	5	7,5	3	20	Moderate	s	p		González-Domenech	Micro Society	
Saccharomonospora halophila	B	10	10	10	30	No Class	s	p		Al-Zahrban et al. 2002	Micro Society	2002
Aurantimonas coralicida	B			2	3	No Class	Sais totais	p		Denner et al. 2003	Micro Society	2003
Alloalcanivorax venustensis	B			0	15	No Class	s	p		Fernandéz-Martinéz et al. 2003 / Rai et al 2023	Micro Society	2003
Thalassomonas ganghwensis	B	2	4	1	8	No Class	Sais totais	p		Yi et al. 2004	Micro Society	2004
Aestuariibacter salexigens	B	2	6			No Class	Sais totais	p		Yi et al. 2004	Micro Society	2004
Aestuariibacter halophilus	B	2	3			No Class	Sais totais	p		Yi et al. 2004	Micro Society	2004
Hahella ganghwensis	B	4	6	1	10	No Class	Sais marinhos	p		Baik et al 2005	Micro Society	2005
Idiomarina seosinensis	B	5	10	1	20	No Class	Sais marinhos	p		Choi et al 2005	Micro Society	2005
Glaciecola nitratireducens	B	4	7	2	9	No Class	Sais Marinhos	p		Baik et al 2006	Micro Society	2006
Clostridium ganghwense	B	3	3	1	9	No Class	Sais Marinhos	p		Kim et al. 2006	Micro Society	2006
Photobacterium ganghwense	B	2	2	1	7	No Class	s	p		Park et al. 2006	Micro Society	2006
Halobacillus faecis	B			0	15	No Class	s	p		An et al 2007	Micro Society	2007
Virgibacillus halophilus	B			0	18	No Class	s	p		An et al 2007	Micro Society	2007
Sulfitobacter litoralis	B	6	7	1	10	No Class	s	p		Park et al 2007	Micro Society	2007
Neptuniibacter caesariensis	B			1,7	6	No Class	Sais Marinhos	p		Arahal et al 2007	Micro Society	2007
Clostridium aestuarii	B	4	4	1	10	No Class	Sais Marinhos	p		Kim et al 2007	Micro Society	2007
Alteromonas simiduii	B	2	4	0,5	13	No Class	s	p	Mercúrio	Chiu et al 2007	Micro Society	2007
Psychromonas hadalis	B	3	3			No Class	s	p	Piezo	Nogi et al 2007	Micro Society	2007
Litoricola lipolytica	B	3	3,5	1,2	10	No Class	s	p		Kim et al 2007	Micro Society	2007
Halochromatium roseum	B	1,2	2,5			No Class	s	p		Kumar et al 2007	Micro Society	2007
Halotalea alkalilenta	B	0	3	0	15	No Class	s	p	Alkali	Ntougias et al 2007	Micro Society	2007
Alteromonas tagae	B	2	4	0	14	No Class	s	p		Chiu et al 2007	Micro Society	2007
Alteromonas simiduii	B			0,5	13	No Class	s	p		Chiu et al 2007	Micro Society	2007
Gracilibacillus lacisalsi	B	5	7	1	18	No Class	s	p		Jeon et al 2008	Micro Society	2008
Thiophaeococcus mangrovi	B	1	1	0,5	4	No Class	s	p		Kumar et al 2008	Micro Society	2008
Haloplasma contractile	B	8	8	1,5	18	No Class	s	p		Antunes et al 2008	Micro Society	2008
Marinobacter zhejiangensis	B	1	3	0,5	10	No Class	s	p		Huo et al 2008	Micro Society	2008
Halomonas salifodinae	B	3	3	0,5	20	No Class	s	p		Wnag et al 2008	Micro Society	2008
Marinobacter goseongensis	B	4	5	1	25	No Class	s	p		Roh et al 2008	Micro Society	2008
Simiduia agarivorans	B	2	3	0,5	7	No Class	s	p		Shieh et al 2008	Micro Society	2008
Marinobacter psychrophilus	B			2	8	No Class	s	p	Frio	Zhang et al 2008	Micro Society	2008
Streptomonospora halophila 	B	10	10	5	20	No Class	s	p		Cai et al 2008	Micro Society	2008
Virgibacillus chiguensis 	B	5	10	0	30	No Class	s	p		Wang et al 2008	Micro Society	2008
Paracoccus halophilus	B	4,5	4,5	0,5	8,5	No Class	s	p		Liu et al 2008	Micro Society	2008
Clostridium tepidiprofundi	B	2,5	2,5	1	6	No Class	s	p	Thermo	Slobodkina et al 2008	Micro Society	2008
Halobacillus alkaliphilus	B	10	10	0,5	20	No Class	s	p		Romano et al 2008	Micro Society	2008
Spongiibacter marinus	B	3	3	1	7	No Class	s	p		Greaeber et al 2008	Micro Society	2008
Alteromonas macleodii	B			1	12	No Class	s	p		Vandecandelaere et al 2009	Micro Society	2009
Streptomonospora amylolytica	B	10	10	5	20	No Class	s	p		Cai et al 2009	Micro Society	2009
Streptomonospora flavalba	B	10	10	5	25	No Class	s	p		Cai et al 2009	Micro Society	2009
Haloglycomyces albus	B	8	12	3	18	No Class	s	p		Guan et al 2009	Micro Society	2009
Novosphingobium panipatense	B					No Class	s	p		Gupta et al 2009	Micro Society	2009
Novosphingobium mathurense	B					No Class	s	p		Gupta et al 2009	Micro Society	2009
Pseudidiomarina marina	B	2	5	0,5	15	No Class	s	p		Jean et al 2009	Micro Society	2009
Pseudidiomarina tainanensis	B	2	5	0,5	15	No Class	s	p		Jean et al 2009	Micro Society	2009
Aliagarivorans marinus	B	2	3	1	7	No Class	s	p		Jean et al 2009	Micro Society	2009
Aliagarivorans taiwanensis	B	2	3	1	7	No Class	s	p		Jean et al 2009	Micro Society	2009
Ponticaulis koreensis	B			0	6	No Class	s	p		Kang and Lee 2009	Micro Society	2009
Thiohalocapsa marina	B	2	2	1	6	No Class	s	p		Kumar et al 2009	Micro Society	2009
Marinospirillum celere	B	2	2	0,5	12	No Class	s	p	Alkali	Namsaraev et al 2009	Micro Society	2009
Salisaeta longa	B	10	10	5	20	No Class	s	p		Vaisman and Oren 2009	Micro Society	2009
Marinobacter szutsaonensis	B	5	5	0	20	No Class	s	p		Wang et al 2009	Micro Society	2009
Amycolatopsis halophila	B	5	5	1	15	No Class	s	p		Tang et al 2010	Micro Society	2010
Bacillus chungangensis	B	5	5	0	15	No Class	s	p		Cho et al 2010	Micro Society	2010
Georgenia halophila	B	5	10	1	15	No Class	s	p		Tang et al 2010	Micro Society	2010
Haloechinothrix alba	B	15	15	9	23	No Class	s	p		Tang et al 2010	Micro Society	2010
Halomonas stevensii	B	3	7,5	0	20	No Class	Sais marinhos	p		Kim et al 2010	Micro Society	2010
Halomonas hamiltonii	B	5	7,5	0	20	No Class	Sais marinhos	p		Kim et al 2010	Micro Society	2010
Halomonas johnsoniae	B	0	5	0	20	No Class	Sais marinhos	p		Kim et al 2010	Micro Society	2010
Loktanella pyoseonensis	B	2	5	1	12	No Class	s	p		Moon et al 2010	Micro Society	2010
Prauserella marina	B	0	0	0	10	No Class	s	p		Wang et al 2010	Micro Society	2010
Salinimicrobium marinum	B	4	4	0,5	15	No Class	s	p		Nedashkovskaya et al 2010	Micro Society	2010
Umboniibacter marinipuniceus	B	2,5	3	2	5	No Class	s	p		Romanenko et al 2010	Micro Society	2010
Actinopolyspora alba	B	15	15	10	25	No Class	s	p		Tang et al 2011	Micro Society	2011
Actinopolyspora erythraea	B	15	15	10	25	No Class	s	p		Tang et al 2011	Micro Society	2011
Altererythrobacter ishigakiensis	B	1,5	2			No Class	s	p		Matsumoto et al 2011	Micro Society	2011
Kangiella spongicola	B			2	15	No Class	s	p		Ahn et al 2011	Micro Society	2011
Paracoccus stylophorae	B	5	5	0	9	No Class	s	p		Sheu et al 2011	Micro Society	2011
Virgibacillus alimentarius	B	9	10	0	30	No Class	s	p		Kim et al 2011	Micro Society	2011
Aliidiomarina taiwanensis	B	1,5	5	0,5	10	No Class	s	p		Huang et al 2012	Micro Society	2012
Halomonas beimenensis	B	5	10	0	15	No Class	s	p		Wang et al 2012	Micro Society	2012
Hasllibacter halocynthiae	B	4	4	1	5	No Class	s	p		Kim et al 2012	Micro Society	2012
Kangiella taiwanensis	B	2	5	0,5	12	No Class	s	p		Jean et al 2012	Micro Society	2012
Kangiella marina	B	2	5	1	8	No Class	s	p		Jean et al 2012	Micro Society	2012
Rhizobium halophytocola	B	2,5	5,5	0	7,5	No Class	s	p		Bibi et al 2012	Micro Society	2012
Salisediminibacterium halotolerans	B	9	9	3	30	No Class	s	p	Alkali	Jiang et al 2012	Micro Society	2012
Actinopolyspora mzabensis	B	10	28	7	32	No Class	s	p		Meklat et al. 2013	Micro Society	2013
Corallomonas stylophorae	B	3	4	0,5	7	No Class	s	p		Chen et al. 2013	Micro Society	2013
Alloalcanivorax marinus	B	3	3	0,5	15	No Class	s	p	Oil	Lai et al 2013 / Rai et al 2023	Micro Society	2013
Halobellus inordinatus	A	180	180	100	280	No Class	s	g		Qiu et al 2013	Micro Society	2013
Natronoarchaeum philippinense	A	18	18	14	30	No Class	s	p		Shimane et al 2013	Micro Society	2013
Natronococcus roseus	A	25	25	15	30	No Class	s	p	Alkali	Corral et al 2013	Micro Society	2013
Oceanobacillus indicireducens	B	5	5	0	10	No Class	s	p	Alkali	Hirota et al 2013	Micro Society	2013
Oceanobacillus polygoni	B	3	3	3	12	No Class	s	p	Alkali	Hirota et al 2013	Micro Society	2013
Streptomyces chilikensis	B	8	8	2	12	No Class	s	p	Alkali	Ray et al 2013	Micro Society	2013
Aliidiomarina shirensis	B	1	10	0,5	15	No Class	s	p		Chiu et al 2014	Micro Society	2014
Gracilibacillus alcaliphilus	B	3	3	0	15	No Class	s	p	Alakli	Hirota et al 2014	Micro Society	2014
Halopolyspora alba	B	20	20	10	35	No Class	Multi sais	p		Lai et al 2014	Micro Society	2014
Rhodovulum mangrovi	B	1	9	0	12	No Class	s	p		Nupur et al 2014	Micro Society	2014
Saccharopolyspora halotolerans	B	10	10	3	20	No Class	s	p		Lv et al 2014	Micro Society	2014
Salinibacillus xinjiangensis	B	9	12	1	21	No Class	s	p		Yang et al 2014	Micro Society	2014
Salinispirillum marinum	B	3	3	1	10	No Class	s	p	Alkali	Shahinpei et al 2014	Micro Society	2014
Salinithrix halophila	B	3	5	1	15	No Class	s	p		Zarparvar et al 2014	Micro Society	2014
Sulfitobacter porphyrae	B	2	3	1	9	No Class	s	p		Fukui et al 2014	Micro Society	2014
Halarchaeum grantii	A	24	27	15	27	No Class	s	p		Shimane et al 2015	Micro Society	2015
Longimonas halophila	B	6	8	4	25	No Class	s	p		Xia et al 2015	Micro Society	2015
Maribacter flavus	B	2	3	1	7	No Class	s	p		Tang et al 2015	Micro Society	2015
Marinobacter halophilus	B	4	8	0	20	No Class	s	p		Xhong et al 2015	Micro Society	2015
Marinobacter nitratireducens	B	2	2	0,5	6	No Class	s	p		Vaidya et al 2015	Micro Society	2015
Paraglycomyces xinjiangensis	B	8	13	3	15	No Class	s	p		Luo et al 2015	Micro Society	2015
Prauserella isguenensis	B	7	15	5	25	No Class	s	p		Saker et al 2015	Micro Society	2015
Salininema proteolyticum	B	7	7	3	15	No Class	s	p		Nikou et al 2015	Micro Society	2015
Spirochaeta sinaica	B	7	7	2	12	No Class	s	p		Dubinina et al 2015	Micro Society	2015
Terasakiispira papahanaumokuakeensis	B			2	15	No Class	s	p		Zepeda et al 2015	Micro Society	2015
Actinopolyspora salinaria	B			10	25	No Class	s	p		Duangmal et al 2016	Micro Society	2016
Salilacibacter albus	B	3	5	0	8	No Class	s	p		Li et al 2016	Micro Society	2016
Egibacter rhizosphaerae	B	10	12	8	25	No Class	s	p	Alkali	Zhang et al 2016	Micro Society	2016
Lipingzhangella halophila	B	5	7	4	18	No Class	s	p	Alkali	Zhang et al 2016	Micro Society	2016
Longibacter salinarum	B			2	20	No Class	s	p		Xia et al 2016	Micro Society	2016
Microbulbifer rhizosphaerae	B			1	6	No Class	s	p		Camacho et al 2016	Micro Society	2016
Paludifilum halophilum	B	10	10	5	20	No Class	s	p	Thermo	Frikha-Dammak et al 2016	Micro Society	2016
Polygonibacillus indicireducens	B	3	3	0	10	No Class	s	p	Alkali	Hirota et al 2016	Micro Society	2016
Spongiibacter taiwanensis	B	1	3	0,5	10	No Class	s	p		Jean et al 2016	Micro Society	2016
Tagaea marina	B	2	4	1	10	No Class	s	p		Jean et al 2016	Micro Society	2016
Arcobacter lekithochrous	B	3	3			No Class	Sais marinhos	p		Diéguez et al 2017	Micro Society	2017
Colwellia marinimaniae	B					No Class	s	p	Piezo, Psychro	Kusube et al 2017	Micro Society	2017
Halofilum ochraceum	B	8	10	2	20	No Class	s	p		Xia et al 2017	Micro Society	2017
Kushneria konosiri	B			0	26	No Class	s	p		Yun et al 2017	Micro Society	2017
Microbulbifer aggregans	B	2	3	0,5	8	No Class	s	p		Moh et al 2017	Micro Society	2017
Paralkalibacillus indicireducens	B	7	7	0	10	No Class	s	p	Alkali	Hirota et al 2017	Micro Society	2017
Prauserella oleivorans	B	3	5	0	12,5	No Class	s	p	Thermo	Dastgheib et al 2017	Micro Society	2017
Salinifilum aidingensis	B	12	12	8	18	No Class	s	p		Xia et al 2017 / Nikou et al 2017	Micro Society	2017
Salibacter halophilus	B	6	6	2	18	No Class	s	p		Lu et al 2017	Micro Society	2017
Halococcus salsus	A	20	20	10	30	No Class	s	p		Chen et al 2018	Micro Society	2018
Haloplanus rallus	A	15	15	10	30	No Class	s	p		Cho et al 2018	Micro Society	2018
Ketobacter alkanivorans	B	3	3	1	7	No Class	s	p	Alkali	Kim et al 2018	Micro Society	2018
Marinobacter fuscus	B	3	3	0	12,5	No Class	s	p		Liu et al 2018	Micro Society	2018
