Espécie	Domínio	Mínimo opt	Máximo opt	Mínimo sup	Máximo sup	Classificação	Sal é NaCl?	Unidade	Checado?	Referência	journal	Ano
Idiomarina fontislapidosi	B	0,51	0,86	0,08	4,28	Moderate	s	m		Martínez-Cánovas et al. 2004	Micro Society	2004
Idiomarina ramblicola	B	0,51	0,86	0,08	2,57	Moderate	s	m		Martínez-Cánovas et al. 2004	Micro Society	2004
Desulfovibrio alaskensis	B	0,43	0,43	0	1,71	Moderate	s	m		Feio et al. 2004	Micro Society	2004
Serinicoccus marinus	B	0,34	0,51	0	2,57	Moderate	s	m		Yi et al. 2004	Micro Society	2004
Halomonas koreensis	B	0,17	2,05	0,17	3,42	Moderate	s	m		Lim et al. 2004	Micro Society	2004
Halomonas axialensis	B	0,64	0,64	0,08	3,86	Moderate	s	m		Kaye et al. 2004	Micro Society	2004
Halomonas hydrothermalis	B	0,64	1,13	0,08	3,54	Moderate	s	m		Kaye et al. 2004	Micro Society	2004
Tenuibacillus multivorans	B	0,86	1,37	0,17	3,42	Moderate	s	m		Ren et Zhou 2005	Micro Society	2005
Salinimonas chungwhensis	B	0,34	0,86	0,08	2,57	Moderate	s	m		Jeon et al. 2005	Micro Society	2005
Pontibacillus chungwhensis	B	0,34	0,86	0,17	2,57	Moderate	s	m		Lim et al 2005	Micro Society	2005
Lentibacillus juripiscarius	B	1,71	1,71	0,51	5,13	Moderate	s	m		Namwong et al. 2005	Micro Society	2005
Psychrobacter cibarius	B	0,34	0,51	0	2,05	Moderate	s	m		Junt et al. 2005	Micro Society	2005
Bacillus oshimensis	B	1,2	1,2	0	3,42	Moderate	s	m		Yumoto et al. 2005	Micro Society	2005
Salinibacillus aidingensis	B			0,86	3,42	Moderate	s	m		Ren and Zhou 2005	Micro Society	2005
Salinibacillus kushneri	B			0,17	5,13	Moderate	s	m		Ren and Zhou 2005	Micro Society	2005
Pontibacillus marinus	B	0,34	0,86	0,17	1,54	Moderate	s	m		Lim et al. 2005	Micro Society	2005
Lentibacillus salarius	B	2,05	2,4	0,17	3,42	Moderate	s	m		Jeon et al. 2005	Micro Society	2005
Alteromonas hispanica	B	1,28	1,71	1,28	2,57	Moderate	s	m		Martínez-Checa et al 2005	Micro Society	2005
Palleronia marisminoris	B	0,86	0,86	0,51	2,57	Moderate	s	m		Martínez-Checa et al 2005	Micro Society	2005
Halobacillus dabanensis	B	1,71	1,71	0,01	4,28	Moderate	s	m		Liu et al. 2005	Micro Society	2005
Halobacillus aidingensis	B	1,71	1,71	0,01	3,42	Moderate	s	m		Liu et al. 2005	Micro Society	2005
Halomonas taeanensis	B	1,71	2,05	0,71	4,28	Moderate	s	m		Lee et al. 2005	Micro Society	2005
Lentibacillus lacisalsi	B	2,05	2,57	0,86	4,28	Moderate	s	m		Lee et al. 2005	Micro Society	2005
Thalassobacillus devorans	B	1,28	1,71	0,08	3,42	Moderate	s	m		García et al. 2005	Micro Society	2005
Alkalibacillus haloalkaliphilus	B	0,86	1,71	0	4,28	Moderate	s	m		Jeon et al. 2005	Micro Society	2005
Alkalibacillus salilacus	B	1,71	2,05	0,86	3,42	Moderate	s	m		Jeon et al. 2005	Micro Society	2005
Methylohalobius crimeensis	B	1	1,5	0,2	2,5	Moderate	s	m		Heyer et al 2005	Micro Society	2005
Oceanisphaera donghaensis	B			0,085	1,37	Moderate	s	m		Park et al. 2006	Micro Society	2006
Bacillus taeanensis	B	0,34	0,86	0	2,05	Moderate	s	m		Lim et al. 2006	Micro Society	2006
Marinobacter koreensis	B			0,08	3,42	Moderate	s	m		Kim et al. 2006	Micro Society	2006
Marinobacter vinifirmus	B	0,86	1,03	0	3,42	Moderate	s	m		Libgott et al. 2006	Micro Society	2006
Thiomicrospira halophila	B	1,5	1,5	0,5	3,5	Moderate	s	m		Sorokin et al. 2006	Micro Society	2006
Desulfohalobium utahense	B	1,37	1,71	0,34	4,11	Moderate	s	m		Jakobsen et al. 2006	Micro Society	2006
Nesterenkonia aethiopica	B	0,51	0,51	0,51	2,05	Moderate	s	m	Alcalino	Delgado et al. 2006	Micro Society	2006
Marinobacter algicola	B	0,51	1,03	0,17	1,54	Moderate	s	m		Green et al. 2006	Micro Society	2006
Gracilibacillus orientalis	B	1,71	1,71	0,17	3,42	Moderate	s	m		Carrasco et al. 2006	Micro Society	2006
Bacillus salarius	B	1,71	2,05	0,51	3,42	Moderate	s	m		Lim et al. 2006	Micro Society	2006
Halomonas gomseomensis	B	1,369	2,055	0,171	3,425	Moderate	s	m		Kim et al. 2007	Micro Society	2007
Halomonas janggokensis	B	1,712	2,568	0,171	3,425	Moderate	s	m		Kim et al. 2007	Micro Society	2007
