Species	Domain	Min opt	Max opt	Min sup	Max sup	Classif	NaCl?	Unit	Reference	Year	Genus	Family	Order	Class	Phylum	Kingdom
Marinobacter halophilus	B	4	8	0	20	No Class	s	p	Xhong et al 2015	2015	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Marinobacter koreensis	B	3	8	0,5	20	Moderate	s	p	Kim et al. 2006	2006	Marinobacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Pontibacillus yanchengensis	B	6	8	3	20	Moderate	s	p	Huang et al. 2015 / Yang et al 2011	2011	Pontibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Tenuibacillus multivorans	B	5	8	1	20	Moderate	s	p	Ren et Zhou 2005	2005	Tenuibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halobacillus seohaensis	B	8	8	1	21	Moderate	s	p	Yoon et al 2008	2008	Halobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Jeotgalicoccus huakuii	B	3	8	0	23	Tolerant	s	p	Guo et al 2010	2010	Jeotgalicoccus	Staphylococcaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Lentibacillus salicampi	B	4	8	2	23	Moderate	s	p	Yoon et al. 2002	2002	Lentibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas icarae	B	2	8	0	24	Moderate	s	p	Pandiyan et al 2021	2021	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Phytoactinopolyspora halophila	B	5	8	2	24	Moderate	s	p	Ding et al 2019	2019	Phytoactinopolyspora	Jiangellaceae	Jiangellales	Actinomycetes	Actinomycetota	Bacillati
Salinicoccus halodurans	B	8	8	0	24	Moderate	s	p	Wang et al 2008	2008	Salinicoccus	Staphylococcaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Alkalihalobacillus hemicentroti	B	5	8	0,5	25	Moderate	s	p	Chen et al 2011 / Patel and Gupta 2020	2011	Alkalihalobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Chromohalobacter sarecensis	B	8	8	0	25	Moderate	s	p	Quillaguamán et al. 2004	2004	Chromohalobacter	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
