Species	Domain	Min opt	Max opt	Min sup	Max sup	Classif	NaCl?	Unit	Reference	Year	Genus	Family	Order	Class	Phylum	Kingdom
Alkalibacterium indicireducens	B	1	11	0	14	Tolerant	s	p	Yumoto et al. 2008	2008	Alkalibacterium	Carnobacteriaceae	 Lactobacillales	Bacilli	Bacillota	Bacillati
Aquisalimonas halophila	B	10	11	3	23	Moderate	s	p	Zhang et al 2014	2014	Aquisalimonas	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Radiobacillus kanasensis	B	0	12	0	14	Tolerant	s	p	Zhang et la 2023	2023	Radiobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Anaerohalosphaera lusitana	B	12	12	5	15	Moderate	s	p	Pradel et al 2020	2020	Anaerohalosphaera	Anaerohalosphaeraceae	Sedimentisphaerales	Phycisphaerae	Planctomycetota	Pseudomonadati
Halanaerobium kushneri	B	12	12	9	18	Moderate	s	p	Bhupathiraju et al. 1999	1999	Halanaerobium	Halanaerobiaceae	Halanaerobiales	Clostridia	Bacillota	Bacillati
Haloglycomyces albus	B	8	12	3	18	No Class	s	p	Guan et al 2009	2009	Haloglycomyces	Glycomycetaceae	Glycomycetales	Actinomycetes	Actinomycetota	Bacillati
Pseudoponticoccus marisrubri	B	9	12	3	18	Moderate	s	p	Zhang et al 2017 / Liang et al 2022	2017	Pseudoponticoccus	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Saccharopolyspora aidingensis	B	12	12	8	18	No Class	s	p	Xia et al 2017	2017	Saccharopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Salinifilum aidingense	B	12	12	8	18	No Class	s	p	Xia et al 2017 / Nikou et al 2017	2017	Salinifilum	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Actinopolyspora lacussalsi	B	12	12	10	20	Extreme	s	p	Guan et al 2013	2013	Actinopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Alkalibacillus salilacus	B	10	12	5	20	Moderate	s	p	Jeon et al. 2005	2005	Alkalibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas gomseomensis	B	8	12	1	20	Moderate	s	p	Kim et al. 2007	2007	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas koreensis	B	1	12	1	20	Moderate	s	p	Lim et al. 2004	2004	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Jeotgalibacillus alimentarius	B	3	12	0	20	Moderate	s	p	Yoon et al. 2001	2001	Jeotgalibacillus	Caryophanaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Longibacter salinarum	B	8	12	2	20	No Class	s	p	Xia et al 2016	2016	Longibacter	Salisaetaceae	Rhodothermales	Rhodothermia	Rhodothermota	Pseudomonadati
Salibacterium qingdaonense	B	12	12	2,5	20	Moderate	s	p	Wnag et al 2007 / Reddy et al 2015	2007	Salibacterium	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Salibacterium salarium	B	10	12	3	20	Moderate	s	p	Lim et al. 2006 / Gupta et al 2020	2006	Salibacterium	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Salinicoccus carnicancri	B	12	12	0	20	Moderate	s	p	Jung et al 2010	2010	Salinicoccus	Staphylococcaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Salinibacillus xinjiangensis	B	9	12	1	21	No Class	s	p	Yang et al 2014	2014	Salinibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Nocardiopsis suaedae	B	5	12	0	22	No Class	s	p	Chantavorakit et al 2023	2023	Nocardiopsis	Nocardiopsidaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacillati
Salinactinospora qingdaonensis	B	9	12	1	23	Moderate	s	p	Chang et al 2012	2012	Salinactinospora	Nocardiopsidaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacillati
Lentibacillus salinarum	B	10	12	3	24	Moderate	s	p	Lee et al 2008	2008	Lentibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Egibacter rhizosphaerae	B	10	12	8	25	No Class	s	p	Zhang et al 2016	2016	Egibacter	Egibacteraceae	Egibacterales	Nitriliruptoria	Actinomycetota	Bacillati
Halomonas taeanensis	B	10	12	1	25	Moderate	s	p	Lee et al. 2005	2005	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Kushneria marisflavi	B	0,5	12	5	27	No Class	s	p	Yoon et al. 2001	2001	Kushneria	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halobaculum magnesiiphilum	A	9	12	6	30	Extreme	s	p	Shimoshige et al 2013	2013	Halobaculum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorhodospira neutriphila	B	9	12	6	30	Extreme	s	p	Hirschler-Réa et al. 2003	2003	Halorhodospira	Halorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Lentibacillus halodurans	B	8	12	5	30	Moderate	s	p	Yuan et al 2007	2007	Lentibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Salibacterium aidingense	B	12	12	8	33	Moderate	s	p	Xue et al 2008	2008	Salibacterium	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Alkalicoccus halolimnae	B	8,3	12,3	4,3	24,3	Moderate	s	p	Zhao et al 2017	2017	Alkalicoccus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Chromohalobacter japonicus	B	7,5	12,5	5	25	Moderate	s	p	Sánchez-Porro et al 2007	2007	Chromohalobacter	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Haloincola saccharolytica	B	7,5	12,5	5	25	No Class	s	p	Cayol et al. 1994	1994	Haloincola	Halanaerobiaceae	Halanaerobiales	Clostridia	Bacillota	Bacillati
Salinicola aestuarinus	B	10	12,5	2,5	30	Moderate	s	p	Fidalgo et al 2019	2019	Salinicola	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Serinicoccus chungangensis	B	13	13	0	15	Moderate	s	p	Traiwan et al 2011	2011	Serinicoccus	Ornithinimicrobiaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Vibrio alginolyticus	B	13	13	0	15	No Class	s	p	Emond et al. 1983	1983	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas xinjiangensis	B	10	13	0	20	Tolerant	s	p	Guan et al 2010	2010	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas alimentaria	B	1	13	1	23	Moderate	s	p	Yoon et al. 2002	2002	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Aidingimonas lacisalsi	B	10	13	5	25	Moderate	s	p	Guan et al 2020	2020	Aidingimonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Lentibacillus salarius	B	12	14	1	20	Moderate	s	p	Jeon et al. 2005	2005	Lentibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Filobacillus milosensis	B	8	14	2	23	No Class	s	p	Schlesner et al. 2001 / Schkesner et al 2001	2001	Filobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas salicampi	B	14	14	0	23	Tolerant	s	p	Lee et al 2015	2015	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Oceanobacillus kapialis	B	6	14	0,5	24	Moderate	s	p	Namwong et al 2009	2009	Oceanobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas shengliensis	B	5	15	0	15	Moderate	s	p	Wang et al 2007	2007	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas saliphila	B	10	15	0	17	Moderate	s	p	Gan et al. abr 2018	2018	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Ornithinibacillus salinisoli	B	10	15	3	17	Moderate	s	p	Gan et al 2018	2018	Ornithinibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Arhodomonas aquaeolei	B	15	15	6	20	Moderate	s	p	Ventosa et al. 1998 / Adkins et al. 1993	1993	Arhodomonas	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas gudaonensis	B	10	15	1	20	Moderate	s	p	Wang et al 2007	2007	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas janggokensis	B	10	15	1	20	Moderate	s	p	Kim et al. 2007	2007	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Lentibacillus jeotgali	B	10	15	3	20	Moderate	s	p	Jung et al 2010	2010	Lentibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Saccharomonospora iraqiensis	B	10	15	5	20	Moderate	s	p	Ruan et al 1994 / Nouioui et al 2018 / Li et al 2003	1994	Saccharomonospora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Saccharopolyspora halophila	B	10	15	3	20	Moderate	s	p	Tang et al 2009	2009	Saccharopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Haloactinospora alba	B	15	15	9	21	Moderate	s	p	Tang et al 2008	2008	Haloactinospora	Nocardiopsidaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacillati
Gracilibacillus saliphilus	B	10	15	1	22	Moderate	s	p	Tang et al. 2009	2009	Gracilibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Saccharopolyspora qijiaojingensis	B	10	15	6	22	Moderate	s	p	Tang et al 2009	2009	Saccharopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Fodinibius salinus	B	10	15	4	23	Moderate	s	p	Wang et al 2012	2012	Fodinibius	Balneolaceae	Balneolales	Balneolia	Balneolota	Pseudomonadati
Haloactinopolyspora alba	B	10	15	7	23	Moderate	s	p	Tang et al 2011	2011	Haloactinopolyspora	Jiangellaceae	Jiangellales	Actinomycetes	Actinomycetota	Bacillati
Haloechinothrix alba	B	15	15	9	23	Moderate	s	p	Tang et al 2010	2010	Haloechinothrix	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Natribacillus halophilus	B	10	15	7	23	Moderate	s	p	Echigo et al 2012	2012	Natribacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Actinopolyspora alba	B	15	15	10	25	Moderate	s	p	Tang et al 2011	2011	Actinopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Actinopolyspora erythraea	B	15	15	10	25	Moderate	s	p	Tang et al 2011	2011	Actinopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Alkalibacillus silvisoli	B	10	15	5	25	Moderate	s	p	Usami et al 2007	2007	Alkalibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Geomicrobium halophilum	B	10	15	5	25	Moderate	s	p	Echigo et al 2010	2010	Geomicrobium	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halalkalibacillus halophilus	B	10	15	5	25	Moderate	s	p	Echigo et al 2007	2007	Halalkalibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Lentibacillus lacisalsi	B	12	15	5	25	Moderate	s	p	Lee et al. 2005	2005	Lentibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Marinococcus luteus	B	10	15	0	25	Tolerant	s	p	Wang et al 2009	2009	Marinococcus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Metabacillus halosaccharovorans	B	5	15	0,5	25	Moderate	s	p	Mehrshad et al 2013 / Paatel and Gupta 2020	2013	Metabacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Nocardiopsis halophila	B	5	15	0	25	No Class	s	p	Al-Tai et al. 1994 / Ventosa et al. 1998	1994	Nocardiopsis	Nocardiopsidaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacillati
Prauserella alba	B	10	15	2	25	Moderate	s	p	Li et al. 2003	2003	Prauserella	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Prauserella halophila	B	10	15	5	25	Moderate	s	p	Li et al. 2003	2003	Prauserella	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Prauserella isguenensis	B	7	15	5	25	No Class	s	p	Saker et al 2015	2015	Prauserella	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Salinicoccus sediminis	B	15	15	0	25	Tolerant	s	p	Kumar et al 2015	2015	Salinicoccus	Staphylococcaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Salinisphaera orenii	B	15	15	5	25	Moderate	s	p	Park et al 2012	2012	Salinisphaera	Salinisphaeraceae	Nevskiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Streptomonospora alba	B	10	15	5	25	No Class	s	p	Li et al. 2003	2003	Streptomonospora	Nocardiopsidaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacillati
Actinopolyspora mortivallis	B	10	15	5	30	Moderate	s	p	Yopshida et al 1991 / Ventosa et al. 1998	1991	Actinopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Alkalibacillus almallahensis	B	15	15	7,5	30	No Class	Total salts	p	Pérez-Davó et al 2014	2014	Alkalibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Gracilibacillus halophilus	B	15	15	7	30	Moderate	s	p	Chen et al. 2008	2008	Gracilibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Haladaptatus cibarius	A	15	15	10	30	Extreme	s	p	Roh et al 2010	2010	Haladaptatus	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halalkalicoccus jeotgali	A	15	15	10	30	Extreme	s	p	Roh et al 2008	2008	Halalkalicoccus	Halalkalicoccaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halanaerobacter jeridensis	B	15	15	6	30	Moderate	s	p	Mezghani et al 2012	2012	Halanaerobacter	Halobacteroidaceae	Halanaerobiales	Clostridia	Bacillota	Bacillati
Halanaerobacter salinarius	B	14	15	5	30	No Class	s	p	Mouné et al. 1999	1999	Halanaerobacter	Halobacteroidaceae	Halanaerobiales	Clostridia	Bacillota	Bacillati
Halobellus clavatus	A	15	15	10	30	Extreme	s	p	Cui et al 2011	2011	Halobellus	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halococcus hamelinensis	A	15	15	12,5	30	No Class	s	p	Goh et al. 2006	2006	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halostagnicola kamekurae	A	15	15	10	30	Extreme	s	p	Nagaoka et al 2010	2010	Halostagnicola	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Lentibacillus kapialis	B	15	15	5	30	Moderate	s	p	Pakdeeto et al 2007	2007	Lentibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Natrialba chahannaoensis	A	15	15	10	30	No Class	s	p	Xu et al 2001	2001	Natrialba	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Salicola marasensis	B	15	15	10	30	Extreme	s	p	Lourdes et al. 2010 / Maturramo et al. 2006	2006	Salicola	Incertae sedis	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halobacillus fulvus	B	10	15	2	33	Moderate	s	p	Booncharoen et al 2021	2021	Halobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Desulfonatronum cooperativum	B	5	15	1	80	Tolerant	s	g	Zhilina e tal 2005	2005	Desulfonatronum	Desulfonatronaceae	Desulfovibrionales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Salinibacillus kushneri	B	12	15			Moderate	s	p	Ren and Zhou 2005	2005	Salinibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Alkalicoccus saliphilus	B	16	16	1	25	No Class	s	p	Romano et al 2005 / Zhao et al 2017	2005	Alkalicoccus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Texcoconibacillus texcoconensis	B	9	16	0	26	Tolerant	s	p	Ruiz-Romero et al 2013	2013	Texcoconibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Lentibacillus lipolyticus	B	8	16	4	35	Moderate	s	p	Booncharoen et al 2019	2019	Lentibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Natronorubrum sulfidifaciens	A	18	18	12	28	Extreme	s	p	Cui et al 2007	2007	Natronorubrum	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halarchaeum rubridurum	A	18	18	9	30	No Class	s	p	Yamauchi et al 2013	2013	Halarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halarchaeum salinum	A	18	18	12	30	Moderate	s	p	Yamauchi et al 2013	2013	Halarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halocalculus aciditolerans	A	15	18	12	30	Extreme	s	p	Minegishi et al 2015	2015	Halocalculus	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronoarchaeum philippinense	A	18	18	14	30	No Class	s	p	Shimane et al 2013	2013	Natronoarchaeum	Natronoarchaeaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halococcus qingdaonensis	A	18	18	10		Extreme	s	p	Wang et al 2007	2007	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Kushneria konosiri	B	11	19	0	26	No Class	s	p	Yun et al 2017	2017	Kushneria	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Salinisphaera halophila	B	14	19	6	29	Moderate	s	p	Zhang et al 2012	2012	Salinisphaera	Salinisphaeraceae	Nevskiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Salsuginibacillus halophilus	B	19	19	9	30	Extreme	s	p	Cao et al. 2010	2010	Salsuginibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Actinopolyspora salinaria	B	10	20	10	25	No Class	s	p	Duangmal et al 2016	2016	Actinopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Halorubrum ezzemoulense	A	20	20	15	25	Extreme	s	p	Kharroub et al 2006 / Mancinelli et al 2009	2006	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Salicola salis	B	15	20	10	25	Extreme	s	p	Kharroub et al. 2006	2006	Salicola	Incertae sedis	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Salinicola salarius	B	10	20	0	25	Moderate	s	p	Kim et al. 2007 / de la Haba et al 2010	2007	Salinicola	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Salinifilum proteinilyticum	B	15	20	12	25	Extreme	s	p	Nikou et al 2017	2017	Salinifilum	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Halanaerobium sehlinense	B	20	20	5	30	Extreme	s	p	Abdeljabbar et al 2013	2013	Halanaerobium	Halanaerobiaceae	Halanaerobiales	Clostridia	Bacillota	Bacillati
Halobaculum roseum	A	20	20	10	30	Extreme	s	p	Chen et al 2017	2017	Halobaculum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halococcus salsus	A	20	20	10	30	No Class	s	p	Chen et al 2018	2018	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halomicrococcus hydrotolerans	A	20	20	10	30	Extreme	s	p	Chen et al 2020	2020	Halomicrococcus	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorhabdus amylolytica	A	20	20	18	30	Extreme	s	p	Wang et al 2022	2022	Halorhabdus	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorientalis regularis	A	18	20	15	30	Extreme	s	p	Cui et al 2011	2011	Halorientalis	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum persicum	A	20	20	15	30	Extreme	s	p	Corral et al 2015	2015	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum trueperi	A	20	20	15	30	Extreme	s	p	Chen et al 2017	2017	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum vacuolatum	A	20	20	15	30	No Class	s	p	Mwatha and Grant 1993	1993	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halostella salina	A	20	20	15	30	Extreme	s	p	Song et al 2016	2016	Halostella	Natronoarchaeaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natrialba hulunbeirensis	A	20	20	12	30	No Class	s	p	Xu et al 2001	2001	Natrialba	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronorubrum tibetense	A	20	20	12	30	No Class	s	p	Xu et al 1999	1999	Natronorubrum	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Piscibacillus salipiscarius	B	10	20	2	30	Moderate	s	p	Tanasupawat et al 2007	2007	Piscibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Salinigranum halophilum	A	18	20	5	30	No Class	s	p	Zhao et al 2020	2020	Salinigranum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Sporohalobacter salinus	B	20	20	5	30	No Class	s	p	Abdallah et al 2015	2015	Sporohalobacter	Halobacteroidaceae	Halanaerobiales	Clostridia	Bacillota	Bacillati
Haloactinomyces albus	B	20	20	10	35	Extreme	s	p	Lai et al 2017	2017	Haloactinomyces	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Halopolyspora alba	B	20	20	10	35	No Class	Multi-salts	p	Lai et al 2014	2014	Halopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati
Saliphagus infecundisoli	A	20	20	5	35	Extreme	s	p	Yin et al 2017	2017	Saliphagus	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronomonas moolapensis	A	18	20	14	36	Extreme	s	p	Burns et al 2010	2010	Natronomonas	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Desulfovibrio gilichinskyi	B	20	20	5	40	Moderate	s	g	Ryzhmanova et al 2019	2019	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Sporosalibacterium tautonense	B	20	20	5	100	Moderate	s	g	Podosokorskaya et al 2017	2017	Sporosalibacterium	Clostridiaceae	Eubacteriales	Clostridia	Bacillota	Bacillati
Halarchaeum nitratireducens	A	21	21	9	30	No Class	s	p	Minegishi et al 2013	2013	Halarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronorubrum bangense	A	22,5	22,5	12	25	No Class	s	p	Xu et al 1999	1999	Natronorubrum	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloarcula amylovorans	A	23	23	8	30	No Class	s	p	Chen et al 2020 / Ma et al 2024	2020	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorhabdus salina	A	23	23	18	30	Extreme	s	p	Wang et al 2022	2022	Halorhabdus	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halarchaeum grantii	A	24	24	15	27	No Class	s	p	Shimane et al 2015	2015	Halarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Salibacterium lacus	B	24	24	8	28	No Class	s	p	Wang et al 2018	2018	Salibacterium	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halarchaeum acidiphilum	A	21	24	18	30	Moderate	s	p	Minegishi et al 2010	2010	Halarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Desulfosoma caldarium	B	25	25	5	30	Slight	s	g	Baena et al 2011	2011	Desulfosoma	Syntrophobacteraceae	Syntrophobacterales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Haloarcula pellucida	A	25	25	20	30	Extreme	s	p	Echigo et al 2013 / Ma et al 2024	2013	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloarcula salaria	A	20	25	15	30	Extreme	s	p	Namwong et al 2011	2011	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloarcula terrestris	A	25	25	15	30	Extreme	s	p	Stralová et al 2023	2023	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloarcula tradensis	A	20	25	15	30	Extreme	s	p	Namwong et al 2011	2011	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halococcus dombrowskii	A	20	25	15	30	Extreme	s	p	Stan-Lotter et al. 2002	2002	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halococcus salifodinae	A	20	25	15	30	Extreme	s	p	Denner et al 1994	1994	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halogeometricum borinquense	A	20	25	8	30	Extreme	s	p	Montalvo-Rodríguez et al 1998	1998	Halogeometricum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halolamina sediminis	A	20	25	15	30	Extreme	s	p	Koh et al 2015	2015	Halolamina	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halonotius aquaticus	A	25	25	15	30	Extreme	s	p	Duráan-Viseras et al 2019	2019	Halonotius	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halopelagius fulvigenes	A	20	25	10	30	Extreme	s	p	Liu et al 2013	2013	Halopelagius	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorientalis pallida	A	25	25	15	30	Extreme	s	p	Duráan-Viseras et al 2019	2019	Halorientalis	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
