Isolado	Conc	UFC1	UFC2	UFC3	diluicao	Replicata
D23.30.010-1	0	19	24	16	1,00E+05	3
D23.30.010-1	0,5	33	40	46	1,00E+05	3
D23.30.010-1	1	13	14	12	1,00E+05	3
D23.30.010-1	1,5	26	25	29	1,00E+03	3
D23.30.010-1	2	9	7	8	1,00E+03	3
D23.30.010-1	3	31	25	17	1,00E+02	3
D23.30.010-1	4	33	37	25	1,00E+01	3
D4.30.100-3	0	40	35	33	1,00E+06	3
D4.30.100-3	0,5	43	45	33	1,00E+06	3
D4.30.100-3	1	106	90	101	1,00E+05	3
D4.30.100-3	1,5	25	23	21	1,00E+04	3
D4.30.100-3	2	16	27	12	1,00E+04	3
D4.30.100-3	3	21	25	24	1,00E+03	3
D4.30.100-3	4	4	7	14	1,00E+01	3
D21.30.010-2	0	7	5	5	1,00E+06	3
D21.30.010-2	0,5	7	2	7	1,00E+06	3
D21.30.010-2	1	7	6	6	1,00E+05	3
D21.30.010-2	1,5	10	10	7	1,00E+01	3
D21.30.010-2	2	1	0	2	1,00E+00	3
D21.30.010-2	3	0	0	0	1,00E+00	3
D21.30.010-2	4	0	0	0	1,00E+00	3
D23.30.010-3	0	24	23	27	1,00E+05	3
D23.30.010-3	0,5	47	47	49	1,00E+05	3
D23.30.010-3	1	46	40	35	1,00E+04	3
D23.30.010-3	1,5	70	96	81	1,00E+02	3
D23.30.010-3	2	53	86	61	1,00E+02	3
D23.30.010-3	3	46	70	47	1,00E+02	3
D23.30.010-3	4	41	45	38	1,00E+01	3
D4.30.R2A-2	0	42	41	40	1,00E+06	3
D4.30.R2A-2	0,5	26	23	19	1,00E+06	3
D4.30.R2A-2	1	21	17	15	1,00E+05	3
D4.30.R2A-2	1,5	20	25	23	1,00E+04	3
D4.30.R2A-2	2	9	4	12	1,00E+04	3
D4.30.R2A-2	3	11	15	17	1,00E+01	3
D4.30.R2A-2	4	41	36	44	1,00E+01	3
D7.30.100-9	0	76	81	79	1,00E+02	3
D7.30.100-9	0,5	9	19	10	1,00E+04	3
D7.30.100-9	1	35	18	32	1,00E+03	3
D7.30.100-9	1,5	31	32	24	1,00E+02	3
D7.30.100-9	2	17	20	16	1,00E+02	3
D7.30.100-9	3	19	18	15	1,00E+02	3
D7.30.100-9	4	20	14	16	1,00E+02	3
D14.30.010-5	0	9	12	10	1,00E+04	3
D14.30.010-5	0,5	46	50	54	1,00E+04	3
D14.30.010-5	1	17	8	16	1,00E+02	3
D14.30.010-5	1,5	8	5	7	1,00E+02	3
D14.30.010-5	2	16	10	4	1,00E+02	3
D14.30.010-5	3	8	9	8	1,00E+02	3
D14.30.010-5	4	7	5	7	1,00E+02	3
D5.30.010-1	0	15	14	15	1,00E+04	3
D5.30.010-1	0,5	28	37	24	1,00E+04	3
D5.30.010-1	1	17	17	24	1,00E+02	3
D5.30.010-1	1,5	15	12	22	1,00E+02	3
D5.30.010-1	2	13	11	18	1,00E+02	3
D5.30.010-1	3	32	8	5	1,00E+02	3
D5.30.010-1	4	143	104	112	1,00E+01	3
D14.15.100-1	0	20	14	10	1,00E+05	3
D14.15.100-1	0,5	17	11	17	1,00E+05	3
D14.15.100-1	1	14	18	22	1,00E+04	3
D14.15.100-1	1,5	18	9	14	1,00E+03	3
D14.15.100-1	2	11	5	17	1,00E+03	3
D14.15.100-1	3	14	3	15	1,00E+03	3
D14.15.100-1	4	8	15	11	1,00E+03	3
D20.15.010-12	0	3	0	4	1,00E+06	3
D20.15.010-12	0,5	6	7	7	1,00E+06	3
D20.15.010-12	1	12	7	8	1,00E+05	3
D20.15.010-12	1,5	6	11	7	1,00E+02	3
D20.15.010-12	2	9	7	10	1,00E+01	3
D20.15.010-12	3	12	11	17	1,00E+01	3
D20.15.010-12	4	10	10	8	1,00E+00	3
D14.15.010-3	0	16	17	23	1,00E+04	3
D14.15.010-3	0,5	12	9	13	1,00E+04	3
D14.15.010-3	1	16	8	11	1,00E+02	3
D14.15.010-3	1,5	48	39	50	1,00E+01	3
D14.15.010-3	2	10	17	15	1,00E+02	3
D14.15.010-3	3	21	32	39	1,00E+01	3
D14.15.010-3	4	6	5	2	1,00E+02	3
D7.15.010-6	0	6	8	5	1,00E+06	3
D7.15.010-6	0,5	25	27	25	1,00E+06	3
D7.15.010-6	1	30	28	30	1,00E+05	3
D7.15.010-6	1,5	8	3	7	1,00E+04	3
D7.15.010-6	2	64	59	64	1,00E+03	3
D7.15.010-6	3	14	17	14	1,00E+03	3
D7.15.010-6	4	50	55	41	1,00E+02	3
D7.15.R2A-6	0	45	37	42	1,00E+06	3
D7.15.R2A-6	0,5	32	24	26	1,00E+06	3
D7.15.R2A-6	1	39	36	49	1,00E+05	3
D7.15.R2A-6	1,5	33	30	43	1,00E+04	3
D7.15.R2A-6	2	29	28	27	1,00E+04	3
D7.15.R2A-6	3	5	15	7	1,00E+02	3
D7.15.R2A-6	4	5	15	17	1,00E+00	3
D4.15.R2A-5	0	19	21	13	1,00E+06	3
D4.15.R2A-5	0,5	15	16	15	1,00E+06	3
D4.15.R2A-5	1	18	16	24	1,00E+05	3
D4.15.R2A-5	1,5	7	21	14	1,00E+04	3
D4.15.R2A-5	2	49	40	39	1,00E+03	3
D4.15.R2A-5	3	45	45	39	1,00E+01	3
D4.15.R2A-5	4	44	20	12	1,00E+02	3
D23.15.010-1	0	43	35	37	1,00E+05	3
D23.15.010-1	0,5	52	44	59	1,00E+05	3
D23.15.010-1	1	61	49	72	1,00E+04	3
D23.15.010-1	1,5	51	64	49	1,00E+02	3
D23.15.010-1	2	14	12	10	1,00E+03	3
D23.15.010-1	3	9	7	5	1,00E+03	3
D23.15.010-1	4	15	15	12	1,00E+02	3
D8.15.R2A-3	0	45	48	47	1,00E+05	3
D8.15.R2A-3	0,5	25	15	28	1,00E+05	3
D8.15.R2A-3	1	22	41	23	1,00E+04	3
D8.15.R2A-3	1,5	75	86	71	1,00E+02	3
D8.15.R2A-3	2	11	11	21	1,00E+02	3
D8.15.R2A-3	3	33	35	42	1,00E+02	3
D8.15.R2A-3	4	30	14	19	1,00E+01	3
E. coli MG1655	0	2	6	9	1,00E+06	3
E. coli MG1655	0,5	20	27	18	1,00E+06	3
E. coli MG1655	1	6	5	5	1,00E+06	3
E. coli MG1655	1,5	18	25	26	1,00E+02	3
E. coli MG1655	2	20	24	12	1,00E+01	3
E. coli MG1655	3	5	9	5	1,00E+01	3
E. coli MG1655	4	0	1	1	1,00E+01	3
